local-authority-code,os
WYE,7000000000003210.0
WYR,7000000000004920.0
WYO,7000000000011880.0
WYC,7000000000003120.0
WRX,7000000000025830.0
WOT,7000000000016260.0
WOR,7000000000002990.0
WOC,7000000000003130.0
WOK,7000000000038890.0
WOI,7000000000014190.0
WRL,7000000000006060.0
WIN,7000000000017750.0
WIL,7000000000043920.0
WGN,7000000000018860.0
WEY,7000000000014500.0
WYCA,
WSX,7000000000016410.0
WSK,
WSO,7000000000010680.0
WOX,7000000000008570.0
WECA,
WNT,
WMCA,
WLN,7000000000030630.0
WLI,7000000000043520.0
WLA,7000000000004910.0
WDU,7000000000036540.0
WDO,7000000000014530.0
WDE,7000000000022760.0
WBK,7000000000038890.0
WEW,7000000000003720.0
WEL,7000000000007350.0
WEA,7000000000002670.0
WAE,7000000000014110.0
WAV,7000000000015440.0
WAT,7000000000003790.0
WAR,7000000000010040.0
WAW,7000000000043510.0
WRT,7000000000038840.0
WLL,7000000000000070.0
WKF,7000000000016750.0
VAL,7000000000008430.0
VGL,7000000000025500.0
UTT,7000000000020030.0
TUN,7000000000018650.0
TRF,7000000000018780.0
TOR,7000000000022970.0
TOF,7000000000044420.0
TOB,7000000000038880.0
TON,7000000000018340.0
THR,7000000000038860.0
THE,7000000000003820.0
MRY,7000000000029950.0
HLD,7000000000029630.0
THA,7000000000018130.0
TEW,7000000000020380.0
TES,7000000000043510.0
TEN,7000000000019540.0
TFW,7000000000038850.0
TEI,7000000000022880.0
TVCA,
TAU,7000000000010370.0
TAN,7000000000013870.0
TAW,7000000000014720.0
TAM,7000000000018700.0
SWD,7000000000038140.0
SWL,7000000000018240.0
SUR,7000000000014060.0
SRY,7000000000013960.0
SND,7000000000009730.0
SFK,7000000000015930.0
SUF,7000000000015500.0
STO,7000000000020570.0
STR,7000000000009940.0
NIR-J,
STE,7000000000038400.0
STT,7000000000025580.0
SKP,7000000000018750.0
STG,7000000000030500.0
STV,7000000000003740.0
STF,7000000000015060.0
STS,7000000000015050.0
STA,7000000000014890.0
SHN,7000000000006000.0
SED,7000000000015640.0
SAL,7000000000003870.0
SPE,7000000000014160.0
SOS,7000000000038900.0
STH,7000000000037250.0
STY,7000000000009680.0
SST,7000000000014850.0
SSO,7000000000010490.0
SRI,7000000000004830.0
SOX,7000000000008250.0
SNR,7000000000007300.0
SNO,7000000000006720.0
SLK,7000000000030840.0
SLA,7000000000012930.0
SKE,7000000000005550.0
SHO,7000000000005590.0
SHA,7000000000022560.0
SGC,7000000000025550.0
SDE,7000000000013540.0
SCA,7000000000001300.0
SBU,7000000000011690.0
SAY,7000000000043390.0
SWT,
SOM,7000000000010570.0
SOL,7000000000000000.0
SLG,7000000000038890.0
SHR,7000000000043820.0
ZET,7000000000030510.0
SCR,
SHF,7000000000009110.0
SEV,7000000000018590.0
SEL,7000000000021050.0
SFT,7000000000005960.0
SEG,7000000000010570.0
SCB,7000000000036550.0
SCE,7000000000021350.0
SAW,7000000000000080.0
SLF,7000000000018800.0
RYE,7000000000021290.0
RUT,7000000000037520.0
RUH,7000000000017270.0
RUS,7000000000007730.0
RUN,7000000000014060.0
RUG,7000000000009880.0
WNM,7000000000038890.0
KTT,7000000000011410.0
KEC,7000000000011270.0
GRE,7000000000010770.0
ROT,7000000000009120.0
ROH,7000000000002850.0
ROS,7000000000004570.0
ROC,7000000000019620.0
RCH,7000000000018820.0
RIH,7000000000021980.0
RIB,7000000000004710.0
RCT,7000000000025500.0
RFW,7000000000030630.0
REI,7000000000013890.0
RED,7000000000003080.0
RCC,7000000000025580.0
RDG,7000000000038890.0
PUR,7000000000014360.0
PRE,7000000000004850.0
POW,7000000000025490.0
POR,7000000000037250.0
PLY,7000000000038870.0
PTE,7000000000038880.0
PKN,7000000000030110.0
PEN,7000000000043740.0
PEM,7000000000025490.0
OXF,7000000000008320.0
OXO,7000000000008440.0
ORK,7000000000029960.0
NIR-K,
OLD,7000000000018690.0
OAD,7000000000023410.0
NUN,7000000000010050.0
NTT,7000000000008120.0
NGM,7000000000038850.0
NOW,7000000000006750.0
NBL,7000000000043670.0
NTH,7000000000007370.0
NOR,7000000000007470.0
NYK,7000000000022020.0
NWL,7000000000023610.0
NWA,7000000000010120.0
NTY,7000000000009690.0
NSM,7000000000025500.0
NTCA,
NNT,
NNO,7000000000007020.0
NLN,7000000000025620.0
NLK,7000000000030500.0
NKE,7000000000005540.0
NHE,7000000000003890.0
NEL,7000000000025650.0
NED,7000000000013390.0
NECA,
NIR-W,
NDO,7000000000014450.0
NDE,7000000000022930.0
NAY,7000000000030620.0
NFK,7000000000007230.0
NIR-U,
NMD,
NIR-P,
NWP,7000000000044420.0
NEC,7000000000015170.0
NET,7000000000009780.0
NEA,7000000000008100.0
NEW,7000000000017730.0
NTL,7000000000025490.0
NIR-E,
MON,7000000000025480.0
MOL,7000000000044470.0
MIK,7000000000038410.0
MLN,7000000000030630.0
MDB,7000000000025580.0
MUL,
MSS,7000000000016210.0
MSU,7000000000015670.0
MDE,7000000000022900.0
MEA,
MTY,7000000000025490.0
MEN,7000000000043460.0
MEL,7000000000023350.0
MDW,7000000000038900.0
MAS,7000000000008160.0
MAN,7000000000018820.0
MAV,7000000000003290.0
MAL,7000000000019500.0
MAI,7000000000018220.0
NIR-H,
LUT,7000000000037530.0
WND,7000000000011120.0
WFT,7000000000011210.0
TWH,7000000000011180.0
STN,7000000000010870.0
SWK,7000000000011010.0
RIC,7000000000011420.0
RDB,7000000000010950.0
NWM,7000000000010920.0
MRT,7000000000010990.0
LEW,7000000000011030.0
LBH,7000000000011140.0
ISL,7000000000011280.0
HNS,7000000000011480.0
HIL,7000000000011530.0
HAV,7000000000010800.0
HRW,7000000000011390.0
HRY,7000000000011290.0
HMF,7000000000011250.0
HCK,7000000000011190.0
ENF,7000000000011320.0
EAL,7000000000011390.0
CRY,7000000000010890.0
CMD,7000000000011240.0
BRY,7000000000010770.0
BEN,7000000000011440.0
BEX,7000000000010750.0
BNE,7000000000011370.0
BDG,7000000000010940.0
LCR,
LIV,7000000000005970.0
NIR-S,
LBC,
LIN,7000000000005940.0
NIR-B,
LIF,7000000000014790.0
LEE,7000000000002890.0
LEC,7000000000023420.0
LCE,7000000000037530.0
LDS,7000000000016670.0
NIR-F,
LAC,7000000000004920.0
LAN,7000000000005150.0
KWL,7000000000044500.0
KIR,7000000000016660.0
KET,7000000000007400.0
KEN,7000000000018210.0
IOW,7000000000025460.0
AGY,7000000000025480.0
IPS,7000000000015310.0
IVC,7000000000030620.0
HYN,7000000000004620.0
HUN,7000000000001470.0
KHL,7000000000025630.0
HOR,7000000000016340.0
HIN,7000000000023550.0
HIG,7000000000013750.0
HER,7000000000003700.0
HRT,7000000000003900.0
HEF,7000000000038900.0
HAA,7000000000017290.0
HAS,7000000000002580.0
HPL,7000000000025580.0
HAT,7000000000017480.0
HAG,7000000000021490.0
HAR,7000000000020080.0
HAO,7000000000023270.0
HAM,7000000000017760.0
HAE,7000000000021480.0
HAL,7000000000038840.0
GWN,7000000000025480.0
GRT,7000000000014000.0
GMCA,
GLA,7000000000041440.0
GRY,7000000000006390.0
GRA,7000000000018510.0
GOS,7000000000017370.0
GLS,7000000000020610.0
GLO,7000000000020390.0
GLG,7000000000030630.0
GED,7000000000007910.0
GAT,7000000000009710.0
FYL,7000000000004980.0
FOE,7000000000020500.0
FOR,7000000000015860.0
SHE,7000000000018080.0
FLN,7000000000025770.0
FIF,7000000000030410.0
NIR-L,
FMO,
FEN,7000000000001350.0
FAR,7000000000017540.0
FAL,7000000000030500.0
EXE,7000000000022600.0
ESS,7000000000019680.0
ERE,7000000000013260.0
EPS,7000000000013940.0
EPP,7000000000019960.0
ELM,7000000000013980.0
EDN,7000000000013040.0
EAT,7000000000017590.0
EAS,7000000000002630.0
ESX,7000000000002620.0
ESK,
EST,7000000000015060.0
ERY,7000000000025630.0
ERW,7000000000030840.0
ENO,7000000000007300.0
ELN,7000000000030500.0
ELI,7000000000005310.0
EHE,7000000000003670.0
EHA,7000000000017310.0
EDU,7000000000030500.0
EDO,7000000000014420.0
EDE,7000000000022710.0
ECA,7000000000001340.0
EAY,7000000000043390.0
DUR,7000000000043600.0
NIR-M,
DND,7000000000030210.0
DGY,7000000000031900.0
DUD,7000000000000100.0
NIR-R,
DOV,7000000000017970.0
DOR,7000000000014360.0
DST,
DNC,7000000000009080.0
DEV,7000000000023140.0
NIR-A,
DRS,
DEB,7000000000013670.0
DBY,7000000000013680.0
DER,7000000000037530.0
DEN,7000000000025480.0
DAV,7000000000007450.0
DAR,7000000000018630.0
DAL,7000000000038400.0
DAC,7000000000003920.0
CMA,7000000000013240.0
CRW,7000000000016350.0
CRA,7000000000021690.0
NIR-N,
COV,7000000000000030.0
IOS,7000000000043970.0
COT,7000000000020220.0
CON,7000000000043750.0
COR,7000000000007280.0
COP,7000000000012960.0
NIR-I,
CWY,7000000000025490.0
ELS,7000000000030020.0
NIR-C,
COL,7000000000019560.0
CLK,7000000000030410.0
YOR,7000000000025590.0
WLV,7000000000000150.0
WSM,7000000000003920.0
LND,7000000000011100.0
LIC,7000000000005710.0
EDH,7000000000030500.0
CRF,7000000000025480.0
BRD,7000000000016720.0
SWA,7000000000025490.0
CHC,7000000000014200.0
CHO,7000000000004760.0
CHN,7000000000011770.0
CHI,7000000000016440.0
CHS,7000000000013710.0
CHW,7000000000043550.0
CHE,7000000000043550.0
CHR,7000000000008500.0
CHT,7000000000020270.0
CHL,7000000000019700.0
CHA,7000000000023450.0
CGN,7000000000025480.0
CBF,7000000000043870.0
CCG,
NIR-Y,
CAS,7000000000019450.0
NIR-V,
CMN,7000000000025480.0
CAR,7000000000012710.0
CAT,7000000000018130.0
CAN,7000000000014860.0
CAM,7000000000001380.0
CPCA,
CAB,7000000000001250.0
CLD,7000000000016710.0
CAY,7000000000025490.0
BUR,7000000000018840.0
BUN,7000000000004560.0
BKM,7000000000011900.0
BUC,
BRT,7000000000007990.0
BRX,7000000000003620.0
BRM,7000000000003080.0
BRO,7000000000006550.0
BST,7000000000025520.0
BNH,7000000000036740.0
BGE,7000000000025490.0
BRW,7000000000019980.0
BRE,7000000000006910.0
BRA,7000000000019790.0
BRC,7000000000038890.0
BPC,
BMH,7000000000038340.0
BOT,7000000000005300.0
POL,7000000000038330.0
KIN,7000000000007010.0
BOL,7000000000018830.0
BOS,7000000000013350.0
BGW,7000000000025490.0
BPL,7000000000038860.0
BBD,7000000000038840.0
BLA,7000000000023580.0
BIR,7000000000000010.0
BFS,
BDF,7000000000043870.0
BAS,7000000000025550.0
BAE,7000000000008120.0
BAN,7000000000017650.0
BAI,7000000000019730.0
BAR,7000000000012940.0
BNS,7000000000009180.0
NIR-Q,
NIR-D,
NIR-G,
BAB,7000000000015690.0
AYL,7000000000011900.0
ASF,7000000000018230.0
ASH,7000000000007960.0
ARU,7000000000016430.0
ABC,
NIR-O,
AGB,7000000000030100.0
NIR-X,
AND,
NIR-T,
ANN,
ANS,7000000000030210.0
AMB,7000000000013400.0
ALL,7000000000013060.0
ADU,7000000000016220.0
ABD,7000000000030110.0
ABE,7000000000030420.0
SMT,
